product_id,product_family,product_department,product_category,product_subcategory,brand_name,product_name
1,Drink,Beverages,Pure Juice Beverages,Juice,Washington,Washington Berry Juice
2,Drink,Beverages,Drinks,Flavored Drinks,Washington,Washington Mango Drink
3,Drink,Beverages,Drinks,Flavored Drinks,Washington,Washington Strawberry Drink
4,Drink,Beverages,Carbonated Beverages,Soda,Washington,Washington Cream Soda
5,Drink,Beverages,Carbonated Beverages,Soda,Washington,Washington Diet Soda
6,Drink,Beverages,Carbonated Beverages,Soda,Washington,Washington Cola
7,Drink,Beverages,Carbonated Beverages,Soda,Washington,Washington Diet Cola
8,Drink,Beverages,Pure Juice Beverages,Juice,Washington,Washington Orange Juice
9,Drink,Beverages,Pure Juice Beverages,Juice,Washington,Washington Cranberry Juice
10,Drink,Beverages,Pure Juice Beverages,Juice,Washington,Washington Apple Juice
11,Drink,Beverages,Drinks,Flavored Drinks,Washington,Washington Apple Drink
12,Food,Breakfast Foods,Breakfast Foods,Cereal,Jeffers,Jeffers Oatmeal
13,Food,Breakfast Foods,Breakfast Foods,Cereal,Jeffers,Jeffers Corn Puffs
14,Food,Breakfast Foods,Breakfast Foods,Cereal,Jeffers,Jeffers Wheat Puffs
15,Food,Breakfast Foods,Breakfast Foods,Cereal,Jeffers,Jeffers Grits
16,Food,Canned Foods,Vegetables,Canned Vegetables,Blue Label,Blue Label Canned Beets
17,Food,Canned Foods,Vegetables,Canned Vegetables,Blue Label,Blue Label Creamed Corn
18,Food,Canned Foods,Vegetables,Canned Vegetables,Blue Label,Blue Label Canned String Beans
19,Food,Canned Foods,Canned Soup,Soup,Blue Label,Blue Label Chicken Soup
20,Food,Canned Foods,Vegetables,Canned Vegetables,Blue Label,Blue Label Canned Yams
21,Food,Canned Foods,Canned Soup,Soup,Blue Label,Blue Label Vegetable Soup
22,Food,Canned Foods,Vegetables,Canned Vegetables,Blue Label,Blue Label Canned Tomatos
23,Food,Canned Foods,Canned Soup,Soup,Blue Label,Blue Label Noodle Soup
24,Food,Canned Foods,Canned Soup,Soup,Blue Label,Blue Label Regular Ramen Soup
25,Food,Canned Foods,Canned Soup,Soup,Blue Label,Blue Label Chicken Noodle Soup
26,Food,Canned Foods,Canned Soup,Soup,Blue Label,Blue Label Turkey Noodle Soup
27,Food,Canned Foods,Canned Soup,Soup,Blue Label,Blue Label Beef Soup
28,Food,Canned Foods,Vegetables,Canned Vegetables,Blue Label,Blue Label Canned Peas
29,Food,Canned Foods,Canned Soup,Soup,Blue Label,Blue Label Chicken Ramen Soup
30,Food,Canned Foods,Canned Tuna,Tuna,Blue Label,Blue Label Canned Tuna in Water
31,Food,Canned Foods,Canned Tuna,Tuna,Blue Label,Blue Label Canned Tuna in Oil
32,Food,Canned Foods,Canned Shrimp,Shrimp,Blue Label,Blue Label Large Canned Shrimp
33,Food,Canned Foods,Canned Anchovies,Anchovies,Blue Label,Blue Label Fancy Canned Anchovies
34,Food,Canned Foods,Canned Clams,Clams,Blue Label,Blue Label Fancy Canned Clams
35,Food,Canned Foods,Canned Oysters,Oysters,Blue Label,Blue Label Fancy Canned Oysters
36,Food,Canned Foods,Canned Sardines,Sardines,Blue Label,Blue Label Fancy Canned Sardines
37,Food,Canned Foods,Canned Soup,Soup,Blue Label,Blue Label Rice Soup
38,Food,Canned Products,Fruit,Canned Fruit,Green Ribbon,Green Ribbon Canned Mixed Fruit
39,Food,Canned Products,Fruit,Canned Fruit,Green Ribbon,Green Ribbon Canned Peaches
40,Non-Consumable,Carousel,Specialty,Sunglasses,King,King Rosy Sunglasses
41,Non-Consumable,Checkout,Hardware,Screwdrivers,Queen,Queen Eyeglass Screwdriver
42,Non-Consumable,Checkout,Miscellaneous,Maps,Queen,Queen City Map
43,Food,Dairy,Dairy,Cottage Cheese,Club,Club Low Fat Cottage Cheese
44,Food,Dairy,Dairy,Sour Cream,Club,Club Low Fat Sour Cream
45,Food,Dairy,Dairy,Sour Cream,Club,Club Sour Cream
46,Food,Dairy,Dairy,Cheese,Club,Club Jack Cheese
47,Food,Dairy,Dairy,Cheese,Club,Club Muenster Cheese
48,Food,Dairy,Dairy,Cheese,Club,Club String Cheese
49,Food,Dairy,Dairy,Cheese,Club,Club Low Fat String Cheese
50,Food,Dairy,Dairy,Cheese,Club,Club Havarti Cheese
51,Food,Dairy,Dairy,Cheese,Club,Club Head Cheese
52,Food,Dairy,Dairy,Cheese,Club,Club Cheese Spread
53,Food,Dairy,Dairy,Cheese,Club,Club Sharp Cheddar Cheese
54,Food,Dairy,Dairy,Cheese,Club,Club Mild Cheddar Cheese
55,Food,Dairy,Dairy,Cottage Cheese,Club,Club Large Curd Cottage Cheese
56,Drink,Dairy,Dairy,Milk,Club,Club 2% Milk
57,Drink,Dairy,Dairy,Milk,Club,Club Buttermilk
58,Drink,Dairy,Dairy,Milk,Club,Club Chocolate Milk
59,Drink,Dairy,Dairy,Milk,Club,Club 1% Milk
60,Drink,Dairy,Dairy,Milk,Club,Club Whole Milk
61,Food,Dairy,Dairy,Yogurt,Club,Club Strawberry Yogurt
62,Food,Dairy,Dairy,Yogurt,Club,Club Blueberry Yogurt
63,Food,Deli,Meat,Hot Dogs,Red Spade,Red Spade Chicken Hot Dogs
64,Food,Deli,Meat,Bologna,Red Spade,Red Spade Pimento Loaf
65,Food,Deli,Meat,Bologna,Red Spade,Red Spade Beef Bologna
66,Food,Deli,Meat,Bologna,Red Spade,Red Spade Low Fat Bologna
67,Food,Deli,Meat,Hot Dogs,Red Spade,Red Spade Turkey Hot Dogs
68,Food,Deli,Meat,Hot Dogs,Red Spade,Red Spade Foot-Long Hot Dogs
69,Food,Deli,Side Dishes,Deli Salads,Red Spade,Red Spade Low Fat Cole Slaw
70,Food,Deli,Side Dishes,Deli Salads,Red Spade,Red Spade Cole Slaw
71,Food,Deli,Meat,Fresh Chicken,Red Spade,Red Spade Roasted Chicken
72,Food,Deli,Meat,Deli Meats,Red Spade,Red Spade Corned Beef
73,Food,Deli,Meat,Deli Meats,Red Spade,Red Spade Sliced Turkey
74,Food,Deli,Meat,Deli Meats,Red Spade,Red Spade Sliced Ham
75,Food,Deli,Side Dishes,Deli Salads,Red Spade,Red Spade Potato Salad
76,Food,Deli,Meat,Deli Meats,Red Spade,Red Spade Sliced Chicken
77,Food,Eggs,Eggs,Eggs,Blue Medal,Blue Medal Small Brown Eggs
78,Food,Eggs,Eggs,Eggs,Blue Medal,Blue Medal Large Brown Eggs
79,Food,Eggs,Eggs,Eggs,Blue Medal,Blue Medal Small Eggs
80,Food,Eggs,Eggs,Eggs,Blue Medal,Blue Medal Large Eggs
81,Food,Eggs,Eggs,Eggs,Blue Medal,Blue Medal Egg Substitute
82,Food,Frozen Foods,Breakfast Foods,Waffles,Golden,Golden Low Fat Waffles
83,Food,Frozen Foods,Frozen Desserts,Popsicles,Golden,Golden Orange Popsicles
84,Food,Frozen Foods,Meat,Frozen Chicken,Golden,Golden Frozen Chicken Breast
85,Food,Frozen Foods,Breakfast Foods,Pancakes,Golden,Golden Frozen Pancakes
86,Food,Frozen Foods,Vegetables,French Fries,Golden,Golden Low Fat French Fries
87,Food,Frozen Foods,Pizza,Pizza,Golden,Golden Frozen Sausage Pizza
88,Food,Frozen Foods,Breakfast Foods,Waffles,Golden,Golden Blueberry Waffles
89,Food,Frozen Foods,Vegetables,French Fries,Golden,Golden Fajita French Fries
90,Food,Frozen Foods,Breakfast Foods,Waffles,Golden,Golden Waffles
91,Food,Frozen Foods,Pizza,Pizza,Golden,Golden Frozen Pepperoni Pizza
