time_id,the_year,quarter,month_of_year,day_of_month
738,1998,Q1,1,7
739,1998,Q1,1,8
740,1998,Q1,1,9
741,1998,Q1,1,10
742,1998,Q1,1,11
743,1998,Q1,1,12
744,1998,Q1,1,13
745,1998,Q1,1,14
746,1998,Q1,1,15
747,1998,Q1,1,16
748,1998,Q1,1,17
749,1998,Q1,1,18
750,1998,Q1,1,19
751,1998,Q1,1,20
752,1998,Q1,1,21
753,1998,Q1,1,22
754,1998,Q1,1,23
755,1998,Q1,1,24
756,1998,Q1,1,25
757,1998,Q1,1,26
758,1998,Q1,1,27
759,1998,Q1,1,28
760,1998,Q1,1,29
761,1998,Q1,1,30
762,1998,Q1,1,31
763,1998,Q1,2,1
764,1998,Q1,2,2
765,1998,Q1,2,3
766,1998,Q1,2,4
767,1998,Q1,2,5
768,1998,Q1,2,6
769,1998,Q1,2,7
770,1998,Q1,2,8
771,1998,Q1,2,9
772,1998,Q1,2,10
773,1998,Q1,2,11
774,1998,Q1,2,12
775,1998,Q1,2,13
776,1998,Q1,2,14
777,1998,Q1,2,15
778,1998,Q1,2,16
779,1998,Q1,2,17
780,1998,Q1,2,18
781,1998,Q1,2,19
782,1998,Q1,2,20
783,1998,Q1,2,21
784,1998,Q1,2,22
785,1998,Q1,2,23
786,1998,Q1,2,24
787,1998,Q1,2,25
788,1998,Q1,2,26
789,1998,Q1,2,27
790,1998,Q1,2,28
791,1998,Q1,3,1
792,1998,Q1,3,2
793,1998,Q1,3,3
794,1998,Q1,3,4
795,1998,Q1,3,5
796,1998,Q1,3,6
797,1998,Q1,3,7
798,1998,Q1,3,8
799,1998,Q1,3,9
800,1998,Q1,3,10
801,1998,Q1,3,11
802,1998,Q1,3,12
803,1998,Q1,3,13
804,1998,Q1,3,14
805,1998,Q1,3,15
806,1998,Q1,3,16
807,1998,Q1,3,17
808,1998,Q1,3,18
809,1998,Q1,3,19
810,1998,Q1,3,20
811,1998,Q1,3,21
812,1998,Q1,3,22
813,1998,Q1,3,23
814,1998,Q1,3,24
815,1998,Q1,3,25
816,1998,Q1,3,26
817,1998,Q1,3,27
818,1998,Q1,3,28
819,1998,Q1,3,29
820,1998,Q1,3,30
821,1998,Q1,3,31
822,1998,Q2,4,1
823,1998,Q2,4,2
824,1998,Q2,4,3
825,1998,Q2,4,4
826,1998,Q2,4,5
827,1998,Q2,4,6
828,1998,Q2,4,7
829,1998,Q2,4,8
830,1998,Q2,4,9
831,1998,Q2,4,10
832,1998,Q2,4,11
833,1998,Q2,4,12
834,1998,Q2,4,13
835,1998,Q2,4,14
836,1998,Q2,4,15
837,1998,Q2,4,16
838,1998,Q2,4,17
839,1998,Q2,4,18
840,1998,Q2,4,19
841,1998,Q2,4,20
842,1998,Q2,4,21
843,1998,Q2,4,22
844,1998,Q2,4,23
845,1998,Q2,4,24
846,1998,Q2,4,25
847,1998,Q2,4,26
848,1998,Q2,4,27
849,1998,Q2,4,28
850,1998,Q2,4,29
851,1998,Q2,4,30
852,1998,Q2,5,1
853,1998,Q2,5,2
854,1998,Q2,5,3
855,1998,Q2,5,4
856,1998,Q2,5,5
857,1998,Q2,5,6
858,1998,Q2,5,7
859,1998,Q2,5,8
860,1998,Q2,5,9
861,1998,Q2,5,10
862,1998,Q2,5,11
863,1998,Q2,5,12
864,1998,Q2,5,13
865,1998,Q2,5,14
866,1998,Q2,5,15
867,1998,Q2,5,16
868,1998,Q2,5,17
869,1998,Q2,5,18
870,1998,Q2,5,19
871,1998,Q2,5,20
872,1998,Q2,5,21
873,1998,Q2,5,22
874,1998,Q2,5,23
875,1998,Q2,5,24
876,1998,Q2,5,25
877,1998,Q2,5,26
878,1998,Q2,5,27
879,1998,Q2,5,28
880,1998,Q2,5,29
881,1998,Q2,5,30
882,1998,Q2,5,31
883,1998,Q2,6,1
884,1998,Q2,6,2
885,1998,Q2,6,3
886,1998,Q2,6,4
887,1998,Q2,6,5
888,1998,Q2,6,6
889,1998,Q2,6,7
890,1998,Q2,6,8
891,1998,Q2,6,9
892,1998,Q2,6,10
893,1998,Q2,6,11
894,1998,Q2,6,12
895,1998,Q2,6,13
896,1998,Q2,6,14
897,1998,Q2,6,15
898,1998,Q2,6,16
899,1998,Q2,6,17
900,1998,Q2,6,18
901,1998,Q2,6,19
902,1998,Q2,6,20
903,1998,Q2,6,21
904,1998,Q2,6,22
905,1998,Q2,6,23
906,1998,Q2,6,24
907,1998,Q2,6,25
908,1998,Q2,6,26
909,1998,Q2,6,27
910,1998,Q2,6,28
911,1998,Q2,6,29
912,1998,Q2,6,30
913,1998,Q3,7,1
914,1998,Q3,7,2
915,1998,Q3,7,3
916,1998,Q3,7,4
917,1998,Q3,7,5
918,1998,Q3,7,6
919,1998,Q3,7,7
920,1998,Q3,7,8
921,1998,Q3,7,9
922,1998,Q3,7,10
923,1998,Q3,7,11
924,1998,Q3,7,12
925,1998,Q3,7,13
926,1998,Q3,7,14
927,1998,Q3,7,15
928,1998,Q3,7,16
929,1998,Q3,7,17
930,1998,Q3,7,18
931,1998,Q3,7,19
932,1998,Q3,7,20
933,1998,Q3,7,21
934,1998,Q3,7,22
935,1998,Q3,7,23
936,1998,Q3,7,24
937,1998,Q3,7,25
938,1998,Q3,7,26
939,1998,Q3,7,27
940,1998,Q3,7,28
941,1998,Q3,7,29
942,1998,Q3,7,30
943,1998,Q3,7,31
944,1998,Q3,8,1
945,1998,Q3,8,2
946,1998,Q3,8,3
947,1998,Q3,8,4
948,1998,Q3,8,5
949,1998,Q3,8,6
950,1998,Q3,8,7
951,1998,Q3,8,8
952,1998,Q3,8,9
953,1998,Q3,8,10
954,1998,Q3,8,11
955,1998,Q3,8,12
956,1998,Q3,8,13
957,1998,Q3,8,14
958,1998,Q3,8,15
959,1998,Q3,8,16
960,1998,Q3,8,17
961,1998,Q3,8,18
962,1998,Q3,8,19
963,1998,Q3,8,20
964,1998,Q3,8,21
965,1998,Q3,8,22
966,1998,Q3,8,23
967,1998,Q3,8,24
968,1998,Q3,8,25
969,1998,Q3,8,26
970,1998,Q3,8,27
971,1998,Q3,8,28
972,1998,Q3,8,29
973,1998,Q3,8,30
974,1998,Q3,8,31
975,1998,Q3,9,1
976,1998,Q3,9,2
977,1998,Q3,9,3
978,1998,Q3,9,4
979,1998,Q3,9,5
980,1998,Q3,9,6
981,1998,Q3,9,7
982,1998,Q3,9,8
983,1998,Q3,9,9
984,1998,Q3,9,10
985,1998,Q3,9,11
986,1998,Q3,9,12
987,1998,Q3,9,13
988,1998,Q3,9,14
367,1997,Q1,1,1
368,1997,Q1,1,2
369,1997,Q1,1,3
370,1997,Q1,1,4
371,1997,Q1,1,5
372,1997,Q1,1,6
373,1997,Q1,1,7
374,1997,Q1,1,8
375,1997,Q1,1,9
376,1997,Q1,1,10
377,1997,Q1,1,11
378,1997,Q1,1,12
379,1997,Q1,1,13
380,1997,Q1,1,14
381,1997,Q1,1,15
382,1997,Q1,1,16
383,1997,Q1,1,17
384,1997,Q1,1,18
385,1997,Q1,1,19
386,1997,Q1,1,20
387,1997,Q1,1,21
388,1997,Q1,1,22
389,1997,Q1,1,23
390,1997,Q1,1,24
391,1997,Q1,1,25
392,1997,Q1,1,26
393,1997,Q1,1,27
394,1997,Q1,1,28
395,1997,Q1,1,29
396,1997,Q1,1,30
397,1997,Q1,1,31
398,1997,Q1,2,1
399,1997,Q1,2,2
400,1997,Q1,2,3
401,1997,Q1,2,4
402,1997,Q1,2,5
403,1997,Q1,2,6
404,1997,Q1,2,7
405,1997,Q1,2,8
406,1997,Q1,2,9
407,1997,Q1,2,10
408,1997,Q1,2,11
409,1997,Q1,2,12
410,1997,Q1,2,13
411,1997,Q1,2,14
412,1997,Q1,2,15
413,1997,Q1,2,16
414,1997,Q1,2,17
415,1997,Q1,2,18
416,1997,Q1,2,19
417,1997,Q1,2,20
418,1997,Q1,2,21
419,1997,Q1,2,22
420,1997,Q1,2,23
421,1997,Q1,2,24
422,1997,Q1,2,25
423,1997,Q1,2,26
424,1997,Q1,2,27
425,1997,Q1,2,28
426,1997,Q1,3,1
427,1997,Q1,3,2
428,1997,Q1,3,3
429,1997,Q1,3,4
430,1997,Q1,3,5
431,1997,Q1,3,6
432,1997,Q1,3,7
433,1997,Q1,3,8
434,1997,Q1,3,9
